time_taken,idle_time,rewrite_count,backspace_count,skipped,question_id,hesitation_score,friction_level,behavior_type
12.105241775512695,3.9753382205963135,0,0,0,Q_LIVE_1,0.169,low,confident
5.434680461883545,0.0,0,0,0,Q_LIVE_1,0.032,low,confident
18.0447039604187,1.778860330581665,0,22,0,Q_LIVE_1,2.885,high,confused
24.080387115478516,9.94123101234436,0,2,0,Q_LIVE_1,0.514,low,confident
26.19918441772461,22.440197706222534,0,0,0,Q_LIVE_1,0.41,medium,hesitation
18.917564392089844,13.574755191802979,0,2,0,Q_LIVE_1,0.576,low,confident
7.445196866989136,0.0,0,9,0,Q_LIVE_1,1.168,medium,overthinking
4.44451642036438,0.0,0,0,0,Q_LIVE_1,0.026,low,confident
3.787782669067383,0.0,0,0,0,Q_LIVE_1,0.022,low,confident
2.382587194442749,0.0,0,0,0,Q_LIVE_1,0.014,low,confident
1.5459003448486328,0.0,0,0,0,Q_LIVE_1,0.009,low,confident
11.26387357711792,0.0,0,16,0,Q_LIVE_1,2.066,high,confused
7.281189203262329,0.0,0,0,0,Q_LIVE_1,0.042,low,confident
2.2207834720611572,0.0,0,0,0,Q_LIVE_1,0.013,low,confident
16.646288633346558,1.605985403060913,0,5,0,Q_LIVE_1,0.751,medium,overthinking
15.232095718383789,2.0190396308898926,0,5,0,Q_LIVE_1,0.754,medium,overthinking
8.578815937042236,0.0,0,0,0,Q_LIVE_1,0.05,low,confident
6.4353272914886475,0.0,0,0,0,Q_LIVE_1,0.038,low,confident
2.0300445556640625,0.0,0,0,0,Q_LIVE_1,0.012,low,confident
1.9176371097564697,0.0,0,0,0,Q_LIVE_1,0.011,low,confident
1.4533562660217285,0.0,0,0,0,Q_LIVE_1,0.008,low,confident
6.235160827636719,0.0,0,0,0,Q_LIVE_1,0.036,low,confident
7.29414176940918,0.0,0,1,0,Q_LIVE_1,0.168,low,confident
10.241486549377441,0.0,0,6,0,Q_LIVE_1,0.81,medium,overthinking
14.909639596939087,0.0,0,0,0,Q_LIVE_1,0.087,low,confident
16.224066495895386,0.0,0,0,0,Q_LIVE_1,0.095,low,confident
7.068634271621704,0.0,0,0,0,Q_LIVE_1,0.041,low,confident
8.631806135177612,1.6553874015808105,0,10,0,Q_LIVE_1,1.358,high,confused
10.969113111495972,0.0,0,20,0,Q_LIVE_1,2.564,high,confused
9.315848350524902,0.0,0,21,0,Q_LIVE_1,2.679,high,confused
9.758984088897705,0.0,0,31,0,Q_LIVE_1,3.932,high,confused
11.43409776687622,0.0,0,28,0,Q_LIVE_1,3.567,high,confused
11.066503524780273,0.0,0,31,0,Q_LIVE_1,3.94,high,confused
97.15948057174683,0.0,0,2,0,Q_LIVE_1,0.817,medium,overthinking
28.706125736236572,0.0,0,4,0,Q_LIVE_1,0.667,medium,overthinking
14.956870079040527,0.0,0,4,0,Q_LIVE_1,0.587,low,confident
59.15226197242737,3.7663116455078125,0,1,0,Q_LIVE_1,0.489,low,confident
89.57453846931458,0.0,0,0,0,Q_LIVE_1,0.523,low,confident
2.452382802963257,0.0,0,0,0,Q_LIVE_1,0.014,low,confident
4.0269386768341064,0.0,0,12,0,Q_LIVE_1,1.523,high,confused
49.29104471206665,0.0,0,0,0,Q_LIVE_1,0.288,low,confident
2.5970449447631836,0.0,0,0,0,Q_LIVE_1,0.015,low,confident
15.686036348342896,8.858389377593994,0,0,0,Q_LIVE_1,confident
5.799520492553711,1.5559027194976807,0,0,0,Q_LIVE_1,confident
16.67391085624695,2.868834972381592,0,24,0,Q_LIVE_1,confident
26.692806243896484,5.612493991851807,0,0,0,Q_LIVE_1,confident
6.579612493515015,4.19605016708374,0,0,0,Q_LIVE_1,confident
